word	positive	negative	anger	anticipation	disgust	fear	joy	sadness	surprise	trust	Sum of labels
aiempi	1	0	0	0	0	0	0	0	0	0	1
aiheellinen	1	0	0	0	0	0	0	0	0	0	1
aiheeton	0	0	0	0	1	0	0	0	0	0	1
aiheuttaa	0	1	1	0	0	1	0	1	0	0	4
aika	0	0	0	1	0	0	0	0	0	0	1
aikoo	0	0	0	0	0	0	0	0	0	1	1
ailahtelevainen	0	1	1	0	0	0	0	1	0	0	3
aine	1	0	0	0	0	0	0	0	0	0	1
aineelliset	1	0	0	0	0	0	0	0	0	0	1
ainutlaatuinen	1	0	0	0	0	0	0	0	1	0	2
airut	0	0	0	1	0	0	0	0	0	0	1
aistikas	1	1	0	1	0	0	1	0	1	1	6
aistillinen	1	0	0	0	0	0	1	0	0	0	2
aistillisuus	1	0	0	1	0	0	1	0	0	0	3
aito	1	0	0	0	0	0	1	0	0	1	3
aitous	1	0	0	0	0	0	0	0	0	1	2
aivastaa	0	1	0	0	1	0	0	0	1	0	3
aivojen	1	0	0	0	0	0	0	0	0	0	1
aivot	1	0	0	0	0	0	0	0	0	0	1
aivotärähdys	0	1	1	0	0	0	0	1	0	0	3
ajattelematon	0	1	1	0	1	0	0	0	0	0	3
ajattelija	1	0	0	0	0	0	0	0	0	0	1
ajatus	0	0	0	1	0	0	0	0	0	0	1
ajot	1	0	0	0	0	0	0	0	0	0	1
ajovalot	0	0	0	1	0	0	0	0	0	0	1
akanat	0	1	1	0	0	1	0	0	0	0	3
akateeminen	1	0	0	0	0	0	0	0	0	1	2
akatemia	1	0	0	0	0	0	0	0	0	0	1
akka	0	1	0	0	1	1	0	0	0	0	3
akkusatiivi	0	1	0	0	0	0	0	0	0	0	1
akrobaatti	1	0	0	0	0	1	1	0	0	1	4
alabasteri	1	0	0	0	0	0	0	0	0	0	1
alamainen	0	1	0	0	0	0	0	0	0	0	1
alamittainen	0	1	0	0	0	0	0	0	0	0	1
alanko	0	1	0	0	0	0	0	0	0	0	1
alba	0	0	0	0	0	0	0	0	0	1	1
alemmuus	0	1	0	0	0	0	0	1	0	0	2
alempi	0	1	1	0	0	1	0	1	0	0	4
alentaminen	0	1	0	0	0	0	0	0	0	0	1
alentuva	0	1	0	0	0	0	0	0	0	0	1
alentuvaisuus	0	1	1	0	1	0	0	1	0	0	4
alhainen	0	1	0	0	0	0	0	1	0	0	2
aliarvioida	0	0	0	0	0	0	0	0	1	0	1
alijäämä	0	1	0	0	0	0	0	0	0	0	1
alikersantti	0	1	0	0	0	0	0	0	0	0	1
alin	0	1	0	0	0	0	0	1	0	0	2
alipalkattu	0	1	1	0	0	0	0	1	0	0	3
alistaa	0	1	0	0	0	0	0	0	0	0	1
alistaminen	0	1	0	0	0	0	0	0	0	0	1
alistamista	0	1	1	0	1	1	0	1	0	0	5
alistava	0	1	1	0	1	1	0	1	0	0	5
alisteinen	0	1	0	0	0	1	0	0	0	0	2
alistettu	0	1	0	0	0	0	0	1	0	0	2
alistunut	0	1	0	0	0	0	0	1	0	0	2
alistuva	0	0	0	0	0	0	0	1	0	0	1
alituisesti	0	0	0	0	0	0	0	0	0	1	1
alkaneet	0	0	0	1	0	0	0	0	0	0	1
alkoholismi	0	1	1	0	1	1	0	1	0	0	5
alku	0	0	0	1	0	0	0	0	0	0	1
alkusoitto	0	0	0	1	0	0	0	0	0	0	1
allegro	1	0	0	0	0	0	0	0	0	0	1
allekirjoitus	0	0	0	0	0	0	0	0	0	1	1
aloitus	0	0	0	1	0	0	0	0	0	0	1
alokas	1	0	0	0	0	0	0	0	0	0	1
altis	0	1	0	0	0	0	0	0	0	0	1
altistaa	0	0	0	1	0	0	0	0	0	0	1
alustava	0	0	0	1	0	0	0	0	0	0	1
ambulanssi	0	0	0	0	0	1	0	0	0	1	2
amfetamiinit	0	1	0	0	1	0	0	0	0	0	2
amiraali	1	0	0	0	0	0	0	0	0	1	2
ammatti	1	0	0	0	0	0	0	0	0	0	1
ammattikieli	0	1	0	0	0	0	0	0	0	0	1
ammattilainen	1	0	0	0	0	0	0	0	0	1	2
ammattitaitoinen	1	0	0	0	0	0	0	0	0	1	2
ammoniakki	0	0	0	0	1	0	0	0	0	0	1
ammottaa	0	0	0	0	0	0	0	0	1	0	1
ammunta	0	1	1	0	0	1	0	0	0	0	3
ammus	0	0	0	0	0	1	0	0	0	0	1
ampua	0	1	1	0	0	1	0	0	0	0	3
ampuja	0	0	0	0	0	1	0	0	0	0	1
ampumaase	0	1	1	0	0	1	0	0	0	0	3
amputoida	0	1	0	0	0	0	0	0	0	0	1
anaali-	0	1	0	0	0	0	0	0	0	0	1
anaconda	0	1	0	0	1	1	0	0	0	0	3
analyytikko	1	0	0	1	0	0	0	0	0	1	3
anarkia	0	1	1	0	0	1	0	0	0	0	3
anarkismi	0	1	1	0	0	1	0	0	0	0	3
anarkisti	0	1	1	0	0	1	0	0	0	0	3
anastaa	0	1	1	0	0	0	0	0	0	0	2
anastettu	0	1	1	0	0	1	0	0	0	0	3
angina	0	1	0	0	0	1	0	0	0	0	2
animoida	1	0	0	0	0	0	0	0	0	0	1
animus	0	1	1	0	0	0	0	0	0	0	2
ankara	0	1	1	0	0	1	0	1	0	1	5
ankerias	0	0	0	0	0	1	0	0	0	0	1
ankkuri	1	0	0	0	0	0	0	0	0	0	1
ankkurointi	1	0	0	0	0	0	0	1	0	0	2
anonyymi	0	1	0	0	0	0	0	0	0	0	1
ansa	0	1	0	0	0	1	0	0	0	0	2
ansaita	1	0	1	1	0	0	0	0	0	1	4
ansaittu	1	0	0	0	0	0	0	0	0	1	2
ansat	0	1	0	0	0	0	0	0	0	0	1
ansio	1	0	0	0	0	0	0	0	0	1	2
ansiokas	1	0	0	0	0	0	1	0	0	1	3
antaa	1	0	0	0	0	0	0	0	0	1	2
antaa anteeksi	1	0	0	0	0	0	0	0	0	0	1
antagonismi	0	1	1	0	0	0	0	0	0	0	2
antagonisti	0	1	1	0	0	0	0	0	0	0	2
antaminen	1	0	0	0	0	0	0	0	0	0	1
antautua	0	1	0	0	0	0	0	0	0	0	1
anteeksi	1	0	0	0	0	0	0	0	0	0	1
anteeksiannettu	1	0	0	0	0	0	0	0	0	0	1
anteeksiantamaton	0	1	1	0	0	0	0	1	0	0	3
anteeksiantava	1	0	0	0	0	0	0	0	0	1	2
anteeksipyyntö	1	0	0	0	0	0	0	0	0	0	1
anteeksipyytävä	1	0	0	0	0	0	0	0	0	1	2
anteliaisuus	1	0	0	1	0	0	1	0	1	1	5
antelias	1	0	0	0	0	0	1	0	0	1	3
anti	1	0	0	1	0	0	1	0	0	1	4
antibiootit	1	0	0	0	0	0	0	0	0	0	1
antifungal	1	0	0	0	0	0	0	0	0	1	2
antiikki	1	0	0	0	0	0	0	0	0	0	1
antikristus	0	1	1	0	1	1	0	0	0	0	4
antipatia	0	1	1	0	1	0	0	0	0	0	3
antiseptinen	1	0	0	0	0	0	0	0	0	1	2
antiteesi	0	1	1	0	0	0	0	0	0	0	2
apaattinen	0	1	0	0	0	0	0	1	0	0	2
apache	0	1	0	0	0	1	0	0	0	0	2
apatia	0	1	0	0	0	0	0	1	0	0	2
apea	0	1	0	0	0	0	0	1	0	0	2
apostoli	1	0	0	0	0	0	0	0	0	1	2
apostolinen	0	0	0	0	0	0	0	0	0	1	1
apotti	0	0	0	0	0	0	0	0	0	1	1
apu	1	0	0	0	0	0	0	0	0	0	1
apuohjelma	1	0	0	0	0	0	0	0	0	0	1
apuraha	1	0	0	0	0	0	1	0	0	0	2
argumentit	0	0	1	0	0	0	0	0	0	0	1
aristokraattinen	1	0	0	0	0	0	0	0	0	0	1
arka	0	1	0	0	0	1	0	1	0	0	3
arkaainen	0	1	0	0	0	0	0	0	0	0	1
arkeologia	1	0	0	1	0	0	0	0	0	0	2
arkipäiväinen	0	0	0	1	0	0	0	0	0	1	2
arkkitehtuuri	0	0	0	0	0	0	0	0	0	1	1
arkuus	0	1	0	1	0	1	0	0	0	0	3
armelias	1	0	0	0	0	0	0	0	0	0	1
armo	1	0	0	0	0	0	0	0	0	0	1
armollinen	1	0	0	0	0	0	0	0	0	0	1
armollisesti	1	0	0	0	0	0	0	0	0	0	1
armoton	0	1	0	0	0	1	0	0	0	0	2
arpajaiset	0	0	0	1	0	0	0	0	1	0	2
arpi	0	1	1	0	1	1	0	1	0	0	5
arraignment	0	1	1	0	0	1	0	1	0	0	4
arsenikki	0	1	0	0	1	1	0	1	0	0	4
artikulaatio	1	0	0	0	0	0	0	0	0	0	1
artisaani	1	0	0	0	0	0	0	0	0	0	1
arvaamaton	0	1	0	0	0	0	0	0	1	0	2
arvaus	0	0	0	0	0	0	0	0	1	0	1
arvioija	0	0	0	0	0	0	0	0	0	1	1
arvioiminen liian suureksi	0	1	0	0	0	0	0	0	0	0	1
arvoinen	1	0	0	0	0	0	0	0	0	0	1
arvoituksellinen	0	1	0	0	0	1	0	0	0	0	2
arvoitus	0	0	0	0	0	0	0	0	1	0	1
arvokas	1	0	0	0	0	0	0	0	0	0	1
arvokkuus	1	0	0	0	0	0	0	0	0	1	2
arvomerkki	1	0	0	0	0	0	0	0	0	0	1
arvonalenema	0	1	1	0	1	0	0	0	0	0	3
arvonalennus	0	1	0	0	0	1	0	0	0	0	2
arvopaperit	0	0	0	0	0	0	0	0	0	1	1
arvostus	1	0	0	0	0	0	1	0	0	1	3
arvoton	0	1	1	0	1	0	0	1	0	0	4
arvovalta	1	0	0	0	0	0	1	0	0	1	3
arvovaltainen	1	0	0	0	0	0	0	0	0	1	2
ase	0	1	1	0	0	1	0	0	0	0	3
aseellinen	1	1	1	0	0	1	0	0	0	0	4
aseistuksen	0	1	0	0	0	1	0	0	0	0	2
aseistus	0	0	1	0	0	1	0	0	0	0	2
aselepo	1	0	0	0	0	0	1	0	0	1	3
asennus	1	0	0	1	0	0	1	0	0	1	4
asentaa	0	0	0	1	0	0	0	0	0	0	1
asevarasto	0	0	0	0	0	0	0	0	0	1	1
asia	1	0	0	1	0	0	0	0	0	1	3
asiaankuulumaton	0	1	0	0	0	0	0	0	0	0	1
asiaankuuluva	1	0	0	0	0	0	0	0	0	1	2
asiakas	1	0	0	0	0	0	0	0	0	0	1
asiakassuhde	1	0	0	0	0	0	0	0	0	1	2
asialla	1	0	0	1	0	0	0	0	0	1	3
asianajaja	1	0	1	0	0	1	0	0	0	1	4
asianajo	1	0	1	1	0	0	1	0	0	1	5
asianmukainen	1	0	0	0	0	0	0	0	0	0	1
asianosainen	0	1	0	0	0	0	0	0	0	0	1
asiantuntemus	1	0	0	0	0	0	0	0	0	1	2
asiantuntija	1	0	0	0	0	0	0	0	0	1	2
aspiskyy	0	0	0	0	0	1	0	0	0	0	1
aste	1	0	0	0	0	0	0	0	0	0	1
asteittainen	0	0	0	1	0	0	0	0	0	0	1
astella	0	1	0	0	0	0	0	0	0	0	1
astrologi	1	0	0	1	0	0	0	0	0	0	2
astronautti	1	0	0	0	0	0	0	0	0	0	1
asukas	1	0	0	0	0	0	0	0	0	1	2
asunnonvaltaaja	0	1	0	0	0	0	0	0	0	0	1
asunnoton	0	1	1	1	1	1	0	1	0	0	6
ateismi	0	1	0	0	0	0	0	0	0	0	1
ateroskleroosi	0	1	0	0	0	1	0	1	0	0	3
atomi	1	0	0	0	0	0	0	0	0	0	1
aukko	0	1	0	0	0	0	0	0	0	0	1
auktoriteetti	1	0	0	0	0	0	0	0	0	1	2
aula	0	1	0	0	0	0	0	0	0	0	1
auringonlasku	1	0	0	1	0	0	0	0	0	0	2
auringonpaiste	1	0	0	0	0	0	1	0	0	0	2
aurinko	1	0	0	1	0	0	1	0	1	1	5
aurinkoinen	1	0	0	1	0	0	1	0	1	0	4
aurinkokello	0	0	0	1	0	0	0	0	0	1	2
autentikointi	0	0	0	0	0	0	0	0	0	1	1
autenttinen	1	0	0	0	0	0	1	0	0	1	3
autio	0	1	1	0	1	1	0	1	0	0	5
autiomaa	0	1	1	0	1	1	0	1	0	0	5
automaattinen	0	0	0	0	0	0	0	0	0	1	1
auttaa	1	0	0	0	0	0	0	0	0	1	2
auttaja	1	0	0	0	0	0	0	0	0	1	2
autuas	1	0	0	0	0	0	1	0	0	0	2
autuus	1	0	0	0	0	0	1	0	0	0	2
avatar	1	0	0	0	0	0	0	0	0	0	1
avautua	1	0	0	1	0	0	0	0	0	0	2
avioero	0	1	1	0	1	1	0	1	1	1	7
avioliitto	1	0	0	1	0	0	1	0	0	1	4
aviorikos	0	1	0	0	1	0	0	1	0	0	3
avioton	0	1	1	0	1	1	0	1	1	0	6
avohaava	0	1	0	0	0	1	0	0	0	0	2
avoimuus	1	0	0	0	0	0	0	0	0	0	1
avoin	0	0	0	0	0	1	0	0	0	0	1
avoin työpaikka	0	1	0	0	0	0	0	0	0	0	1
avunanto	1	0	0	0	0	0	0	0	0	0	1
avustaja	1	0	0	0	0	0	0	0	0	1	2
avuton	0	1	0	0	0	1	0	1	0	0	3
avuttomuus	0	1	0	0	0	1	0	1	0	0	3
ay	1	0	0	0	0	0	0	0	0	0	1
baari	0	0	0	0	1	0	1	0	0	0	2
baarimikko	0	0	0	0	0	0	0	0	0	1	1
bakteeria	0	1	0	0	1	1	0	0	0	0	3
bakteerit	0	1	0	0	1	1	0	1	0	0	4
baletti	1	0	0	0	0	0	0	0	0	0	1
balladi	1	0	0	0	0	0	0	0	0	0	1
bandiitti	0	1	0	0	0	0	0	0	0	0	1
banshee	0	1	1	0	1	1	0	1	0	0	5
barbaari	0	1	0	0	0	1	0	0	0	0	2
barbaria	0	1	0	0	0	0	0	0	0	0	1
bardi	1	0	0	0	0	0	0	0	0	0	1
barf	0	0	0	0	1	0	0	0	0	0	1
barrikadi	0	1	0	0	0	1	0	0	0	0	2
behemoth	0	1	0	0	0	1	0	0	0	0	2
blackjack	0	1	0	0	0	0	0	0	0	0	1
blues	0	1	0	0	0	1	0	1	0	0	3
bluffi	0	1	0	0	0	0	0	0	0	0	1
boikotti	0	1	0	0	0	0	0	0	0	0	1
boilerplate	0	1	0	0	0	0	0	0	0	0	1
bonne	1	0	0	0	0	0	0	0	0	0	1
bonus	1	0	0	1	0	0	1	0	1	0	4
booli	0	1	1	0	0	1	0	1	1	0	5
bordelli	0	1	0	0	1	0	0	0	0	0	2
brandy	0	1	0	0	0	0	0	0	0	0	1
brokadi	1	0	0	0	0	0	0	0	0	0	1
brunt	0	1	1	0	0	0	0	0	0	0	2
brutaali	0	1	1	0	0	1	0	0	0	0	3
brutto	0	1	0	0	1	0	0	0	0	0	2
bufetti	0	1	1	0	0	0	0	0	0	0	2
bulldoggi	1	0	0	0	0	0	0	0	0	0	1
bumerangi	0	0	0	1	0	0	0	0	0	1	2
bummer	0	1	1	0	1	0	0	0	0	0	3
bunkkeri	0	0	0	0	0	1	0	0	0	0	1
burke	0	1	1	0	1	1	0	1	0	0	5
burleski	0	0	0	0	0	0	0	0	1	0	1
buss	1	0	0	0	0	0	1	0	0	0	2
buzzed	0	1	0	0	0	0	0	0	0	0	1
bye	0	0	0	1	0	0	0	0	0	0	1
bylaw	0	0	0	0	0	0	0	0	0	1	1
byrokraatti	0	1	0	0	1	0	0	0	0	0	2
byrokratia	0	1	0	0	0	0	0	0	0	1	2
cathartic	1	0	0	0	0	0	0	0	0	0	1
cess	0	1	0	0	1	0	0	0	0	0	2
chowder	1	0	0	0	0	0	0	0	0	0	1
clashing	0	1	1	0	0	1	0	0	0	0	3
commonwealth	1	0	0	0	0	0	0	0	0	1	2
conveyancing	0	0	0	0	0	0	0	0	0	1	1
coop	0	1	1	0	1	0	0	0	0	0	3
corse	0	0	0	0	0	0	0	1	0	0	1
crack	0	1	0	0	0	0	0	0	0	0	1
crescendo	1	0	0	1	0	0	1	0	1	1	5
dabbling	0	1	1	0	1	0	0	0	0	0	3
deflaatio	0	1	0	0	0	1	0	0	0	0	2
degeneraatio	0	1	1	0	1	0	0	1	0	0	4
delfiini	1	0	0	0	0	0	1	0	1	1	4
dementia	0	1	0	0	0	1	0	1	0	0	3
demokratia	1	0	0	0	0	0	0	0	0	0	1
demoni	0	1	1	0	1	1	0	1	1	0	6
demoninen	0	1	1	0	1	1	0	1	0	0	5
demonstratiivinen	1	0	0	0	0	0	1	1	0	0	3
depressiivinen	0	1	0	0	0	0	0	1	0	0	2
desinfiointi	1	0	0	0	0	0	0	0	0	0	1
despoottinen	0	1	0	0	0	1	0	0	0	0	2
diagnoosi	0	1	0	1	0	1	0	0	0	1	4
diakoni	0	0	0	0	0	0	0	0	0	1	1
differentiaali	0	0	0	0	0	0	0	0	0	1	1
diktaattori	0	1	0	0	0	1	0	0	0	0	2
diktatorinen	0	1	1	0	0	0	0	0	0	0	2
diktatuuri	0	1	1	1	1	1	0	1	0	0	6
dinosaurus	0	0	0	0	0	1	0	0	0	0	1
diplomaattinen	1	0	0	0	0	0	0	0	0	1	2
diplomatia	1	0	0	1	0	0	0	0	0	1	3
diskata	0	1	0	0	0	0	0	1	0	0	2
divaani	0	0	0	0	0	0	0	0	0	1	1
dogmi	0	0	0	0	0	0	0	0	0	1	1
doiminoida	1	1	1	0	0	1	0	0	0	0	4
doit	0	1	0	0	0	0	0	0	0	0	1
dominoiva	0	1	1	0	0	0	0	0	0	0	2
don	1	0	0	0	0	0	0	0	0	1	2
dorka	0	0	1	0	0	0	0	0	1	0	2
duetto	1	0	0	0	0	0	0	0	0	0	1
dynaaminen	0	0	0	0	0	0	0	0	1	0	1
edellä mainittujen	1	0	0	0	0	0	0	0	0	0	1
edelläkävijä	1	0	0	0	0	0	0	0	0	0	1
edeltäjä	0	0	0	1	0	0	0	0	0	0	1
edeltää	1	0	0	0	0	0	0	0	0	0	1
edessä	1	0	0	0	0	0	0	0	0	0	1
edistyksellinen	1	0	0	0	0	0	0	0	0	0	1
edistyminen	1	0	0	1	0	0	1	1	0	1	5
edistys	1	0	0	1	0	0	1	0	0	0	3
edistäminen	1	0	0	0	0	0	0	0	0	0	1
edistävä	1	0	0	0	0	0	0	0	0	0	1
edistää	1	0	0	1	0	1	1	0	1	0	5
edullinen	1	0	0	0	0	0	0	0	0	0	1
edunvalvoja	0	0	0	0	0	0	0	0	0	1	1
eduskunta	0	0	0	0	0	0	0	0	0	1	1
edustavat	0	0	0	1	0	0	0	0	0	0	1
edustettuina	1	0	0	0	0	0	0	0	0	0	1
eeppinen	1	0	0	0	0	0	0	0	0	0	1
eettinen	1	0	0	0	0	0	0	0	0	0	1
egotistinen	0	1	0	0	1	0	0	0	0	0	2
ehdokas	1	0	0	0	0	0	0	0	0	0	1
ehdonalainen vapaus	0	0	0	1	0	0	0	0	0	0	1
ehdottaa	0	0	0	0	0	0	0	0	0	1	1
ehdotus	0	0	0	1	0	0	0	0	0	0	1
eheys	1	0	0	0	0	0	0	0	0	1	2
ehjä	1	0	0	0	0	0	0	0	0	1	2
ehkäisevä	0	1	0	0	0	0	0	0	0	0	1
ehkäistä	0	0	0	0	0	1	0	0	0	0	1
ehto	0	0	0	0	0	0	0	0	0	1	1
ei	0	1	0	0	0	0	0	0	0	0	1
ei kiinnostunut	0	1	0	0	0	0	0	1	0	0	2
ei-toivottu	0	1	1	0	1	1	0	1	0	0	5
eitoivottu	0	1	0	0	0	0	0	1	0	0	2
eittämätön	0	0	0	1	1	0	0	0	0	0	2
eitärkeä	0	1	0	0	0	0	0	1	0	0	2
eksoottinen	1	0	0	0	0	0	0	0	0	0	1
ekspertti	1	0	0	0	0	0	0	0	0	1	2
ekstaasi	1	0	0	1	0	0	1	0	0	0	3
eksynyt	0	1	0	0	0	0	0	0	0	0	1
eksyä	0	1	0	1	0	0	0	0	0	0	2
elatusapu	0	1	0	0	0	0	0	0	0	0	1
eliitti	1	0	0	1	0	0	1	0	0	1	4
eliminointi	0	1	1	0	1	1	0	1	0	0	5
elin	0	0	0	1	0	0	1	0	0	0	2
elinehto	1	0	0	0	0	0	0	0	0	0	1
elintärkeä	1	0	0	0	0	0	0	0	0	0	1
elinvoima	1	0	0	0	0	0	0	0	0	0	1
elinvoimaisuus	1	0	0	0	0	0	1	0	0	1	3
elinympäristö	1	0	0	0	0	0	0	0	0	0	1
eliö	0	0	0	0	1	0	0	0	0	0	1
elohopea	0	1	0	0	0	0	0	0	1	0	2
eloisa	1	0	0	0	0	0	1	0	0	0	2
elokuu	1	0	0	0	0	0	0	0	0	0	1
elossa	1	0	0	1	0	0	1	0	0	1	4
eloton	0	1	0	0	0	1	0	1	0	0	3
elpyminen	1	0	0	0	0	0	0	0	0	0	1
eltaantunut	0	1	0	0	1	0	0	0	0	0	2
elvyttäminen	1	0	0	1	0	0	1	0	0	1	4
elvyttää	1	1	0	1	0	0	0	0	0	0	3
elähtänyt	0	1	0	0	0	0	0	0	0	0	1
eläimellinen	0	1	0	0	1	1	0	0	0	0	3
eläke	1	1	0	1	0	1	1	1	0	1	7
eläköön	1	0	0	1	0	0	1	0	1	1	5
elävöittää	1	0	0	0	0	0	1	0	1	1	4
emansipaatio	1	0	0	1	0	0	1	0	0	0	3
emeritus	1	0	0	0	0	0	0	0	0	0	1
emiiri	1	0	0	0	0	0	0	0	0	0	1
empatia	1	0	0	0	0	0	0	0	0	0	1
emäntä	1	0	0	0	0	0	0	0	0	1	2
encore	1	0	0	0	0	0	0	0	0	0	1
endeeminen	0	1	0	0	1	1	0	1	0	0	4
endokardiitti	0	0	0	0	0	1	0	1	0	0	2
energinen	1	0	0	0	0	0	0	0	0	0	1
enimmäismäärä	1	0	0	0	0	0	0	0	0	0	1
enkeli	1	0	0	1	0	0	1	0	1	1	5
enkelimäinen	1	0	0	0	0	0	1	0	0	1	3
ennakkoluulo	0	1	1	0	0	0	0	0	0	0	2
ennakkoluuloinen	0	1	0	0	1	1	0	0	0	0	3
ennakkovaatimus	0	0	0	1	0	0	0	0	0	0	1
ennakoimattomia	0	0	0	0	0	0	0	0	1	0	1
ennakointi	0	0	0	1	0	0	0	0	0	0	1
ennakoiva	0	0	0	1	0	0	0	0	0	0	1
ennakotapaus	1	0	0	0	0	0	0	0	0	1	2
ennalta arvaamaton	0	1	0	0	0	0	0	0	1	0	2
ennalta tietävä	1	0	0	1	0	0	0	0	0	0	2
ennaltaarvaamaton	0	0	0	0	0	0	0	0	1	0	1
ennaltaehkäisy	1	0	0	1	0	0	0	0	0	0	2
ennenaikainen	0	0	0	0	0	0	0	0	1	0	1
ennennäkemätön	0	0	0	0	0	0	0	0	1	0	1
ennustaa	0	0	0	1	0	0	0	0	0	0	1
ennustaminen	0	0	0	1	0	0	0	0	0	0	1
ennuste	0	0	0	1	0	0	0	0	0	1	2
ennusteellinen	0	0	0	1	0	0	0	0	0	0	1
ennustettu	1	0	0	1	0	0	0	0	0	0	2
ennustus	0	0	0	1	0	0	0	0	0	0	1
ensiluokkainen	1	0	0	0	0	0	0	0	0	0	1
ensisijainen	1	0	0	0	0	0	0	0	0	0	1
environ	1	0	0	0	0	0	0	0	0	0	1
ephemeris	1	0	0	0	0	0	0	0	0	0	1
epidemia	0	1	1	1	1	1	0	1	1	0	7
epilepsia	0	1	0	0	0	0	0	0	0	0	1
episkopaalinen	0	0	0	0	0	0	0	0	0	1	1
epäaito	0	1	0	0	1	0	0	0	0	0	2
epäedullinen	0	1	0	0	0	0	0	0	0	0	1
epäilemättä	1	0	0	0	0	0	0	0	0	1	2
epäillä	0	1	0	0	0	1	0	1	0	1	4
epäilty	0	1	0	0	0	1	0	0	0	0	2
epäily	0	1	0	0	0	1	0	0	0	0	2
epäilys	0	1	0	0	1	1	0	0	0	0	3
epäilyttävä	0	1	1	1	0	0	0	0	0	0	3
epäinhimillinen	0	1	1	0	1	1	0	1	0	0	5
epäinhimillisyys	0	1	0	0	0	0	0	1	0	0	2
epäitsekäs	1	0	0	0	0	0	0	0	0	0	1
epäjohdonmukaisuus	0	1	0	0	0	0	0	0	0	0	1
epäjumala	0	1	0	0	1	1	0	0	0	0	3
epäjumalankuva	0	0	1	0	0	0	0	0	0	0	1
epäjärjestys	0	0	1	0	1	0	0	0	0	0	2
epäkohta	0	1	1	0	1	0	0	1	0	0	4
epäkohtelias	0	1	0	0	1	0	0	0	0	0	2
epäkunnioittava	0	1	1	0	1	1	0	1	0	0	5
epäkäytännöllinen	0	1	1	0	1	0	0	1	0	0	4
epälooginen	0	1	0	0	0	0	0	0	0	0	1
epäluettava	0	1	0	0	0	0	0	0	0	0	1
epäluotettava	0	1	1	0	0	0	0	0	0	0	2
epäluottamus	0	1	1	0	1	1	0	0	0	0	4
epäluuloinen	0	1	0	1	0	1	0	0	0	0	3
epämiellyttävä	0	1	0	0	1	0	0	1	0	0	3
epämieluisa	0	1	0	0	1	0	0	1	0	0	3
epämukava	0	1	0	0	0	0	0	0	0	0	1
epämukavuus	0	1	0	0	0	0	0	1	0	0	2
epämuodostuma	0	1	0	0	1	1	0	1	0	0	4
epämuodostunut	0	1	0	0	1	0	0	1	0	0	3
epämuodostus	0	1	0	0	0	0	0	0	0	0	1
epämääräinen	0	1	0	0	0	0	0	0	0	0	1
epämääräisyys	0	1	0	0	0	0	0	0	0	0	1
epäoikeudenmukainen	0	1	1	0	0	0	0	0	0	0	2
epäoikeudenmukaisuus	0	1	1	0	0	0	0	1	0	0	3
epäoikeutettu	0	1	0	0	0	0	0	0	0	0	1
epäonnellinen	0	1	1	0	1	0	0	1	0	0	4
epäonni	0	1	0	0	0	1	0	1	0	0	3
epäonnistuminen	0	1	0	0	1	1	0	1	0	0	4
epäonnistunut	0	1	0	0	0	0	0	1	0	0	2
epäpuhdas	0	1	0	0	1	0	0	0	0	0	2
epäpuhtaus	0	1	0	0	1	0	0	0	0	0	2
epäpyhä	0	1	0	0	0	1	0	0	0	0	2
epäpätevyys	0	1	0	0	0	0	0	0	0	0	1
