word	finnish-fi	emotion	emotion-intensity-score
sensuality	aistillisuus	anticipation	0.516
sensuality	aistillisuus	joy	0.641
fulsome	äitelä	disgust	0.383
mamma	äiti	trust	0.641
mother	äiti	anticipation	0.406
mother	äiti	joy	0.412
mother	äiti	trust	0.703
motherhood	äitiys	joy	0.5
motherhood	äitiys	trust	0.703
authentic	aito	joy	0.364
authenticity	aitous	trust	0.688
sneeze	aivastaa	disgust	0.312
concussion	aivotärähdys	anger	0.377
timewasters	ajantuhlaajat	anger	0.348
thoughtless	ajattelematon	anger	0.307
thoughtless	ajattelematon	disgust	0.336
thought	ajatus	anticipation	0.414
timing	ajoitus	trust	0.5
headlight	ajovalot	anticipation	0.406
crabby	äkäinen	anger	0.455
chaff	akanat	anger	0.312
chaff	akanat	fear	0.172
academic	akateeminen	trust	0.648
hag	akka	disgust	0.602
hag	akka	fear	0.25
battery	akku	anger	0.609
acrobat	akrobaatti	fear	0.266
acrobat	akrobaatti	joy	0.162
acrobat	akrobaatti	trust	0.258
aksesoris	aksesoris	trust	0.32
axiomatic	aksiooma	trust	0.352
aku	aku	trust	0.242
nether	ala-	anger	0.278
nether	ala-	fear	0.312
yelp	älähtää	anger	0.168
yelp	älähtää	fear	0.281
allegiance	alamaisuus	trust	0.711
alb	alba	trust	0.234
condescension	alentuvaisuus	anger	0.576
condescension	alentuvaisuus	disgust	0.531
underpaid	alipalkattu	anger	0.152
subjugation	alistamista	anger	0.559
subjugation	alistamista	disgust	0.484
subjugation	alistamista	fear	0.531
subordinate	alisteinen	fear	0.328
constantly	alituisesti	trust	0.617
start	alkaa	anticipation	0.75
begun	alkaneet	anticipation	0.516
beginnings	alkeet	joy	0.422
germ	alkio	anticipation	0.336
germ	alkio	disgust	0.68
alcoholism	alkoholismi	anger	0.338
alcoholism	alkoholismi	disgust	0.562
alcoholism	alkoholismi	fear	0.5
overture	alkusoitto	anticipation	0.461
signature	allekirjoitus	trust	0.477
alligator	alligaattori	fear	0.727
overwhelmed	ällikällälyöty	fear	0.469
disgusting	ällöttävä	anger	0.636
disgusting	ällöttävä	disgust	0.703
disgusting	ällöttävä	fear	0.484
allsmiles	allsmiles	joy	0.828
alreadyyyyy	alreadyyyyy	fear	0.14
predispose	altistaa	anticipation	0.477
vulnerability	alttius	fear	0.548
tract	alue	fear	0.188
ship	alus	anticipation	0.383
knickers	alushousut	trust	0.367
preliminary	alustava	anticipation	0.461
intelligent	älykäs	trust	0.672
intelligence	älykkyys	fear	0.038
intelligence	älykkyys	joy	0.477
ambulance	ambulanssi	fear	0.484
ambulance	ambulanssi	trust	0.555
amphetamines	amfetamiinit	disgust	0.398
admiral	amiraali	trust	0.594
professional	ammattilainen	trust	0.68
ammonia	ammoniakki	disgust	0.422
gaping	ammottava	anticipation	0.492
projectiles	ammukset	fear	0.75
shooting	ammunta	anger	0.667
shooting	ammunta	fear	0.812
projectile	ammus	fear	0.654
wasp	ampiainen	fear	0.5
shoot	ampua	anger	0.672
shoot	ampua	fear	0.734
shooter	ampuja	fear	0.722
firearms	ampuma	anger	0.547
firearms	ampuma	fear	0.6
anaconda	anaconda	disgust	0.383
anaconda	anaconda	fear	0.75
analyst	analyytikko	anticipation	0.312
analyst	analyytikko	trust	0.531
anarchy	anarkia	anger	0.636
anarchy	anarkia	fear	0.75
anarchism	anarkismi	anger	0.714
anarchism	anarkismi	fear	0.688
anarchist	anarkisti	anger	0.765
anarchist	anarkisti	fear	0.75
usurp	anastaa	anger	0.485
usurped	anastettu	anger	0.453
usurped	anastettu	fear	0.422
aneka	aneka	trust	0.352
angina	angina	fear	0.578
angrytweet	angrytweet	anger	0.812
animus	animus	anger	0.5
austere	ankara	fear	0.47
eel	ankerias	fear	0.344
deserve	ansaita	anger	0.176
deserve	ansaita	anticipation	0.602
deserve	ansaita	trust	0.516
earned	ansaittu	trust	0.57
merit	ansio	trust	0.664
meritorious	ansiokas	joy	0.5
meritorious	ansiokas	trust	0.586
endow	antaa	trust	0.492
forgive	antaaanteeksi	trust	0.547
antagonism	antagonismi	anger	0.609
antagonist	antagonisti	anger	0.545
giver	antaja	joy	0.353
giving	antaminen	joy	0.469
surrender	antautuminen	fear	0.5
surrender	antautuminen	trust	0.281
inexcusable	anteeksiantamaton	anger	0.641
inexcusable	anteeksiantamaton	disgust	0.484
forgiving	anteeksiantava	trust	0.508
forgiveness	anteeksianto	joy	0.453
apologetic	anteeksipyytävä	trust	0.5
bounty	anteliaisuus	anticipation	0.539
bounty	anteliaisuus	joy	0.485
bounty	anteliaisuus	trust	0.383
generosity	anteliaisuus	anticipation	0.484
generosity	anteliaisuus	joy	0.625
generosity	anteliaisuus	trust	0.594
generous	antelias	joy	0.609
generous	antelias	trust	0.594
antichrist	antikristus	anger	0.656
antichrist	antikristus	disgust	0.68
antichrist	antikristus	fear	0.641
antipathy	antipatia	anger	0.406
antipathy	antipatia	disgust	0.453
antiseptic	antiseptinen	trust	0.422
antithesis	antiteesi	anger	0.5
rewarding	antoisa	joy	0.742
antsy	antsy	fear	0.375
apache	apache	fear	0.281
bastard	äpärä	disgust	0.57
copycat	apina	anger	0.227
copycat	apina	disgust	0.258
apostle	apostoli	trust	0.57
apostolic	apostolinen	trust	0.562
abbot	apotti	trust	0.438
approbate	approbate	trust	0.484
approvement	approvement	trust	0.617
pharmacy	apteekki	fear	0.123
scholarship	apuraha	joy	0.455
aquapix	aquapix	trust	0.305
surly	äreä	anger	0.412
surly	äreä	disgust	0.383
argh	argh	anger	0.391
arghh	arghh	anger	0.562
arghhhh	arghhhh	anger	0.547
arguments	argumentit	anger	0.404
timid	arka	fear	0.359
archaeology	arkeologia	anticipation	0.344
commonplace	arkipäiväinen	anticipation	0.242
commonplace	arkipäiväinen	trust	0.453
architecture	arkkitehtuuri	trust	0.539
tenderness	arkuus	joy	0.561
grace	armo	joy	0.576
merciless	armoton	fear	0.609
aromatherapy	aromaterapiaa	joy	0.409
raffle	arpajaiset	anticipation	0.586
scar	arpi	anger	0.422
scar	arpi	disgust	0.461
scar	arpi	fear	0.406
arraignment	arraignment	anger	0.203
arraignment	arraignment	fear	0.45
arsehole	arsehole	anger	0.624
arseholes	arseholes	anger	0.719
arsenic	arsenikki	disgust	0.555
arsenic	arsenikki	fear	0.703
annoy	ärsyttää	anger	0.52
annoy	ärsyttää	disgust	0.336
irritate	ärsyttää	anger	0.621
irritating	ärsyttävä	anger	0.606
irritating	ärsyttävä	disgust	0.375
annoyance	ärsyttävyys	anger	0.422
annoyance	ärsyttävyys	disgust	0.32
irritation	ärsytys	anger	0.438
irritation	ärsytys	disgust	0.375
displeased	ärsyyntynyt	anger	0.453
displeased	ärsyyntynyt	disgust	0.352
displeased	ärsyyntynyt	fear	0.273
irritable	ärtyisä	anger	0.667
exasperation	ärtymys	anger	0.424
exasperation	ärtymys	disgust	0.328
annoyed	ärtynyt	anger	0.485
irate	ärtynyt	anger	0.844
resentful	ärtynyt	anger	0.545
irritability	ärtyvyys	anger	0.609
estimation	arvio	trust	0.336
assessor	arvioija	trust	0.375
assessment	arviointi	fear	0.172
assessment	arviointi	trust	0.594
sir	arvoisa	trust	0.445
enigmatic	arvoituksellinen	fear	0.329
worthy	arvokas	trust	0.643
dignity	arvokkuus	joy	0.5
dignity	arvokkuus	trust	0.672
depreciation	arvonalennus	fear	0.359
securities	arvopaperit	trust	0.547
appreciates	arvostaa	joy	0.703
criticize	arvostella	anger	0.516
criticize	arvostella	disgust	0.312
criticize	arvostella	fear	0.469
judged	arvostellaan	trust	0.406
appreciated	arvostettu	joy	0.682
appreciation	arvostus	joy	0.656
appreciation	arvostus	trust	0.617
worthless	arvoton	anger	0.438
worthless	arvoton	disgust	0.508
prestige	arvovalta	joy	0.485
prestige	arvovalta	trust	0.586
authoritative	arvovaltainen	trust	0.578
gun	ase	anger	0.576
gun	ase	fear	0.734
armed	aseistettu	anger	0.7
armed	aseistettu	fear	0.703
armament	aseistus	anger	0.47
armament	aseistus	fear	0.656
truce	aselepo	joy	0.281
truce	aselepo	trust	0.617
fitting	asennus	anticipation	0.445
fitting	asennus	joy	0.258
fitting	asennus	trust	0.406
install	asentaa	anticipation	0.43
bylaw	asetus	trust	0.586
armory	asevarasto	trust	0.391
matter	asia	trust	0.477
pertinent	asiaankuuluva	trust	0.562
patronage	asiakassuhde	trust	0.508
errand	asialla	anticipation	0.344
errand	asialla	trust	0.43
attorney	asianajaja	anger	0.152
attorney	asianajaja	fear	0.188
attorney	asianajaja	trust	0.352
advocacy	asianajo	anger	0.1
advocacy	asianajo	anticipation	0.5
advocacy	asianajo	joy	0.25
advocacy	asianajo	trust	0.68
expertise	asiantuntemus	trust	0.68
specialist	asiantuntija	trust	0.664
matters	asioissa	trust	0.445
asleeep	asleeep	anger	0.059
asp	aspiskyy	fear	0.438
gradual	asteittainen	anticipation	0.375
asteroid	asteroidi	fear	0.469
astrologer	astrologi	anticipation	0.414
abide	asua	anticipation	0.367
occupant	asukas	trust	0.43
homeless	asunnoton	anger	0.288
homeless	asunnoton	anticipation	0.289
homeless	asunnoton	disgust	0.438
homeless	asunnoton	fear	0.609
homeless	asunnoton	sadness	0.734
dwelling	asunto	joy	0.094
mortgage	asuntolaina	fear	0.331
atherosclerosis	ateroskleroosi	fear	0.531
vent	aukko	anger	0.456
authority	auktoriteetti	trust	0.664
aura	aura	joy	0.493
sunset	auringonlasku	anticipation	0.453
sunset	auringonlasku	joy	0.312
sunrise	auringonnousu	joy	0.6
sunshine	auringonpaiste	joy	0.551
sun	aurinko	anticipation	0.445
sun	aurinko	joy	0.266
sun	aurinko	trust	0.438
sunny	aurinkoinen	anticipation	0.5
sunny	aurinkoinen	joy	0.562
sundial	aurinkokello	anticipation	0.227
sundial	aurinkokello	trust	0.305
help	auta	fear	0.203
deserted	autio	anger	0.348
deserted	autio	disgust	0.359
deserted	autio	fear	0.531
autism	autismi	trust	0.273
autocorrect	autocorrect	anger	0.015
automatic	automaattinen	trust	0.508
helper	auttaja	trust	0.586
blissful	autuas	joy	0.879
bliss	autuus	joy	0.971
unfold	avautua	anticipation	0.555
aversation	aversation	disgust	0.484
averseness	averseness	disgust	0.391
divorce	avioero	anger	0.516
divorce	avioero	disgust	0.383
divorce	avioero	fear	0.484
divorce	avioero	trust	0.133
marriage	avioliitto	anticipation	0.656
marriage	avioliitto	joy	0.514
marriage	avioliitto	trust	0.695
husband	aviomies	joy	0.438
adultery	aviorikos	disgust	0.727
illegitimate	avioton	anger	0.333
illegitimate	avioton	disgust	0.414
illegitimate	avioton	fear	0.438
roadster	avoauto	joy	0.125
roadster	avoauto	trust	0.359
openly	avoimesti	trust	0.594
overt	avoin	fear	0.391
assist	avustaa	trust	0.648
contributor	avustaja	trust	0.492
helpless	avuton	fear	0.531
helplessness	avuttomuus	fear	0.516
helplessness	avuttomuus	sadness	0.828
bartender	baarimikko	trust	0.383
bacterium	bakteeri	disgust	0.727
bacterium	bakteeri	fear	0.531
bacteria	bakteerit	disgust	0.656
bacteria	bakteerit	fear	0.578
banquet	banketti	anticipation	0.406
banquet	banketti	joy	0.303
banshee	banshee	anger	0.561
banshee	banshee	disgust	0.469
banshee	banshee	fear	0.641
barbarian	barbaari	fear	0.62
barf	barf	disgust	0.875
barricade	barrikadi	fear	0.375
bastarding	bastarding	anger	0.719
bbw	bbw	trust	0.266
bday	bday	joy	0.672
behel	behel	trust	0.32
behemoth	behemoth	fear	0.439
beliebers	beliebers	trust	0.227
benedictory	benedictory	trust	0.523
berminat	berminat	trust	0.375
bestfeeling	bestfeeling	joy	0.712
besties	besties	joy	0.656
bieber	bieber	trust	0.148
biopsy	biopsia	fear	0.516
bisa	bisa	trust	0.273
bluddy	bluddy	anger	0.562
blues	blues	fear	0.219
bonus	bonus	anticipation	0.609
bonus	bonus	joy	0.547
punch	booli	anger	0.713
punch	booli	fear	0.58
brothel	bordelli	disgust	0.609
bristol	bristol	trust	0.367
brrr	brrr	anger	0.328
bruh	bruh	trust	0.312
brunt	brunt	anger	0.5
gross	brutto	disgust	0.719
buddha	buddha	joy	0.273
buddhist	buddhalainen	joy	0.281
buddhism	buddhalaisuus	joy	0.266
boomerang	bumerangi	anticipation	0.602
boomerang	bumerangi	trust	0.359
bummer	bummer	anger	0.139
bummer	bummer	disgust	0.148
bunker	bunkkeri	fear	0.375
burke	burke	anger	0.364
burke	burke	disgust	0.312
burke	burke	fear	0.359
buss	buss	joy	0.136
bureaucrat	byrokraatti	disgust	0.266
bureaucracy	byrokratia	trust	0.25
cantbreathe	cantbreathe	fear	0.641
canthandleit	canthandleit	fear	0.484
cantwin	cantwin	anger	0.409
capslock	capslock	anger	0.242
carl	carl	trust	0.297
cess	cess	disgust	0.67
chai	chai	joy	0.156
childloss	childloss	sadness	0.812
clashing	clashing	anger	0.652
clashing	clashing	fear	0.578
collins	collins	trust	0.391
contagiously	contagiously	trust	0.289
coop	coop	anger	0.156
coop	coop	disgust	0.304
crescendo	crescendo	anticipation	0.672
crescendo	crescendo	joy	0.485
crescendo	crescendo	trust	0.352
cretins	cretins	anger	0.516
cruising	cruising	joy	0.556
cuddled	cuddled	joy	0.703
dabbling	dabbling	anger	0.234
dabbling	dabbling	disgust	0.195
daymade	daymade	joy	0.514
deflation	deflaatio	fear	0.297
delegate	delegoida	trust	0.586
dolphin	delfiini	joy	0.348
dolphin	delfiini	trust	0.367
deluxe	deluxe	trust	0.398
dementia	dementia	fear	0.641
daemon	demoni	anger	0.641
daemon	demoni	disgust	0.516
daemon	demoni	fear	0.625
demon	demoni	anger	0.735
demon	demoni	disgust	0.742
demon	demoni	fear	0.906
demonic	demoninen	anger	0.828
demonic	demoninen	disgust	0.742
demonic	demoninen	fear	0.859
depressive	depressiivinen	sadness	0.75
depresson	depresson	fear	0.422
dgn	dgn	trust	0.234
dha	dha	trust	0.305
diagnosis	diagnoosi	anticipation	0.602
diagnosis	diagnoosi	fear	0.391
diagnosis	diagnoosi	trust	0.484
deacon	diakoni	trust	0.43
dicks	dicks	anger	0.703
dictator	diktaattori	fear	0.656
dictatorial	diktatorinen	anger	0.53
dictatorship	diktatuuri	anger	0.676
dictatorship	diktatuuri	anticipation	0.234
dictatorship	diktatuuri	disgust	0.672
dictatorship	diktatuuri	fear	0.734
dinosaur	dinosaurus	fear	0.453
diplomatic	diplomaattinen	trust	0.68
diplomacy	diplomatia	anticipation	0.391
diplomacy	diplomatia	trust	0.586
displacency	displacency	disgust	0.414
disrelish	disrelish	disgust	0.391
divan	divaani	trust	0.297
dogma	dogmi	trust	0.367
dogsick	dogsick	disgust	0.57
overbearing	dominoiva	anger	0.547
don	don	trust	0.273
dontlikeyou	dontlikeyou	anger	0.712
dontmess	dontmess	anger	0.576
dontmesswithme	dontmesswithme	anger	0.75
dontpanic	dontpanic	fear	0.378
dontunderstand	dontunderstand	anger	0.242
douchebags	douchebags	anger	0.75
dramaqueen	draamakuningatar	anger	0.312
drones	drones	fear	0.406
dumbasses	dumbasses	anger	0.712
dumbbitch	dumbbitch	anger	0.841
prerequisite	edellytys	anticipation	0.508
precursor	edeltäjä	anticipation	0.469
advance	edetä	anticipation	0.695
advance	edetä	fear	0.188
advance	edetä	joy	0.375
edict	edikti	fear	0.375
progress	edistyminen	anticipation	0.703
progress	edistyminen	joy	0.397
parliament	eduskunta	trust	0.477
representing	edustavat	anticipation	0.398
eeeek	eeeek	fear	0.5
eeek	eeek	fear	0.562
eek	eek	fear	0.531
effyou	effyou	anger	0.818
egotistical	egoisti	disgust	0.445
unconditionally	ehdoitta	trust	0.648
parole	ehdonalainen	anticipation	0.492
terms	ehdot	trust	0.531
unconditional	ehdoton	trust	0.602
suggest	ehdottaa	trust	0.352
ehh	ehh	trust	0.188
unbroken	ehjä	trust	0.523
proviso	ehto	trust	0.344
undesirable	ei-toivottu	anger	0.231
undesirable	ei-toivottu	disgust	0.43
undesirable	ei-toivottu	fear	0.328
nothappy	eiiloinen	anger	0.412
noschool	eikoulua	joy	0.516
nothingbetter	eimitäänparempaa	joy	0.647
nostress	eistressiä	joy	0.421
nocomplaints	eivalittamista	joy	0.485
notready	eivalmis	fear	0.281
unaccountable	eivastuuvelvollinen	anticipation	0.336
unaccountable	eivastuuvelvollinen	disgust	0.305
unaccountable	eivastuuvelvollinen	trust	0.172
expert	ekspertti	trust	0.664
ecstasy	ekstaasi	anticipation	0.711
ecstasy	ekstaasi	joy	0.906
digress	eksyä	anticipation	0.328
live	elää	joy	0.406
bestial	eläimellinen	disgust	0.68
bestial	eläimellinen	fear	0.639
brute	eläimellinen	anger	0.581
savagery	eläimellisyys	anger	0.915
savagery	eläimellisyys	fear	0.875
retirement	eläke	anticipation	0.625
retirement	eläke	fear	0.156
retirement	eläke	joy	0.275
retirement	eläke	trust	0.531
life	elämä	joy	0.438
lifestyle	elämäntapa	trust	0.461
lifeisgood	elämäonhyvä	joy	0.766
thrilling	elämys	anticipation	0.781
thrilling	elämys	joy	0.776
vivid	elävä	joy	0.515
enliven	elävöittää	joy	0.672
enliven	elävöittää	trust	0.445
gesture	ele	joy	0.387
elegance	eleganssi	anticipation	0.453
elegance	eleganssi	joy	0.609
elegance	eleganssi	trust	0.492
elite	eliitti	anticipation	0.469
elite	eliitti	joy	0.547
elite	eliitti	trust	0.438
elimination	eliminointi	anger	0.456
elimination	eliminointi	disgust	0.453
elimination	eliminointi	fear	0.588
lifetime	elinikä	joy	0.234
vitality	elinvoimaisuus	joy	0.531
vitality	elinvoimaisuus	trust	0.562
ella	ella	trust	0.25
animated	eloisa	joy	0.515
movies	elokuvat	joy	0.393
alive	elossa	anticipation	0.461
alive	elossa	joy	0.531
alive	elossa	trust	0.5
lifeless	eloton	fear	0.781
lifeless	eloton	sadness	0.797
recovery	elpyminen	joy	0.312
recovery	elpyminen	trust	0.539
rancid	eltaantunut	disgust	0.859
revive	elvyttää	anticipation	0.523
restorative	elvyttävä	anticipation	0.492
restorative	elvyttävä	joy	0.318
restorative	elvyttävä	trust	0.555
revival	elvytys	anticipation	0.625
revival	elvytys	joy	0.359
revival	elvytys	trust	0.578
bases	emäkset	fear	0.156
emancipation	emansipaatio	anticipation	0.57
emancipation	emansipaatio	joy	0.397
matron	emäntä	trust	0.57
emetophobia	emetofobiassa	fear	0.656
waver	empiä	fear	0.219
enablement	enablement	trust	0.422
encomiastic	encomiastic	trust	0.383
encore	encore	trust	0.438
endemic	endeeminen	disgust	0.508
endemic	endeeminen	fear	0.484
endocarditis	endokardiitti	fear	0.531
energy	energia	joy	0.422
angel	enkeli	anticipation	0.438
angel	enkeli	joy	0.594
angel	enkeli	trust	0.625
angelic	enkelimäinen	joy	0.688
angelic	enkelimäinen	trust	0.586
prejudice	ennakkoluulo	anger	0.545
prejudiced	ennakkoluuloinen	disgust	0.656
prejudiced	ennakkoluuloinen	fear	0.484
prescient	ennakkotieto	anticipation	0.648
anticipate	ennakoida	anticipation	0.82
anticipation	ennakointi	anticipation	0.859
anticipatory	ennakoiva	anticipation	0.75
prevention	ennaltaehkäisy	anticipation	0.453
omen	enne	anticipation	0.57
omen	enne	fear	0.594
predict	ennustaa	anticipation	0.589
divination	ennustaminen	anticipation	0.578
forecast	ennuste	anticipation	0.609
forecast	ennuste	trust	0.484
prognosis	ennuste	anticipation	0.641
prognosis	ennuste	fear	0.217
prognostic	ennusteellinen	anticipation	0.523
foreseen	ennustettu	anticipation	0.602
prediction	ennustus	anticipation	0.695
whatif	entä	fear	0.219
disingenuous	epäaito	disgust	0.453
doubtless	epäilemättä	trust	0.531
doubt	epäillä	fear	0.25
doubt	epäillä	trust	0.203
suspected	epäillään	fear	0.375
suspect	epäilty	fear	0.516
suspicion	epäily	fear	0.391
doubts	epäilyksiä	fear	0.308
doubts	epäilyksiä	trust	0.172
suspicious	epäilyttävä	anger	0.484
suspicious	epäilyttävä	anticipation	0.547
inhuman	epäinhimillinen	anger	0.485
inhuman	epäinhimillinen	disgust	0.672
inhuman	epäinhimillinen	fear	0.625
inhumanity	epäinhimillisyys	sadness	0.804
disorder	epäjärjestys	fear	0.406
grievance	epäkohta	anger	0.556
grievance	epäkohta	disgust	0.328
impolite	epäkohtelias	disgust	0.266
disrespectful	epäkunnioittava	anger	0.516
disrespectful	epäkunnioittava	disgust	0.484
disrespectful	epäkunnioittava	fear	0.343
disrespect	epäkunnioitus	anger	0.394
unreliable	epäluotettava	anger	0.344
unreliable	epäluotettava	trust	0.172
distrust	epäluottamus	anger	0.516
distrust	epäluottamus	disgust	0.336
distrust	epäluottamus	fear	0.531
mistrust	epäluottamus	disgust	0.422
mistrust	epäluottamus	fear	0.5
unpleasant	epämiellyttävä	disgust	0.477
unattractive	epämieluisa	disgust	0.555
inconvenient	epämukava	anger	0.266
inconvenient	epämukava	disgust	0.203
deformity	epämuodostuma	disgust	0.664
deformity	epämuodostuma	fear	0.547
deformed	epämuodostunut	disgust	0.68
unfair	epäoikeudenmukainen	anger	0.571
unfair	epäoikeudenmukainen	disgust	0.281
injustice	epäoikeudenmukaisuus	anger	0.5
unfairness	epäoikeudenmukaisuus	sadness	0.745
unlucky	epäonnekas	anger	0.203
unlucky	epäonnekas	disgust	0.234
unlucky	epäonnekas	fear	0.328
misfortune	epäonni	fear	0.562
incompetent	epäpätevä	anger	0.257
incompetence	epäpätevyys	anger	0.359
impure	epäpuhdas	disgust	0.422
impurity	epäpuhtaus	disgust	0.5
unholy	epäpyhä	fear	0.575
dishonest	epärehellinen	anger	0.516
dishonest	epärehellinen	disgust	0.453
dishonesty	epärehellisyys	disgust	0.414
apprehension	epäröinti	fear	0.453
untidy	epäsiisti	disgust	0.422
unpopular	epäsuosittu	disgust	0.227
unfavorable	epäsuotuisa	disgust	0.414
asymmetry	epäsymmetria	disgust	0.133
unequal	epätasainen	anger	0.167
unequal	epätasainen	disgust	0.32
unequal	epätasainen	fear	0.219
imperfections	epätäydellisyydet	trust	0.312
unhealthy	epäterveellinen	disgust	0.367
unhealthy	epäterveellinen	fear	0.469
surreal	epätodellinen	joy	0.5
despair	epätoivo	anger	0.382
despair	epätoivo	disgust	0.445
despair	epätoivo	fear	0.641
despair	epätoivo	sadness	0.812
desperation	epätoivo	fear	0.719
desperation	epätoivo	sadness	0.75
despairing	epätoivoinen	fear	0.474
unsafe	epäturvallinen	fear	0.561
unsatisfactory	epätyydyttävä	disgust	0.328
incredulous	epäuskoinen	anger	0.426
incredulous	epäuskoinen	disgust	0.43
unstable	epävakaa	fear	0.531
instability	epävakaisuus	disgust	0.328
instability	epävakaisuus	fear	0.5
insecure	epävarma	anger	0.188
insecure	epävarma	fear	0.461
precarious	epävarma	anticipation	0.578
precarious	epävarma	fear	0.547
uncertain	epävarma	anger	0.152
uncertain	epävarma	disgust	0.352
uncertain	epävarma	fear	0.172
insecurities	epävarmuuksia	trust	0.18
insecurity	epävarmuus	fear	0.484
unofficial	epävirallinen	trust	0.32
unfriendly	epäystävällinen	anger	0.394
unfriendly	epäystävällinen	disgust	0.305
unfriendly	epäystävällinen	fear	0.281
epidemic	epidemia	anger	0.406
epidemic	epidemia	anticipation	0.445
epidemic	epidemia	disgust	0.594
epidemic	epidemia	fear	0.776
hermit	erakko	trust	0.305
wilderness	erämaa	anticipation	0.508
wilderness	erämaa	fear	0.422
wilderness	erämaa	joy	0.121
inequality	eriarvoisuus	anger	0.406
inequality	eriarvoisuus	fear	0.234
specialize	erikoistua	trust	0.414
disparity	erilaisuus	anger	0.547
disparity	erilaisuus	disgust	0.305
disagreeing	erimielisyys	anger	0.453
dissension	erimielisyys	anger	0.561
excellent	erinomainen	joy	0.812
excellent	erinomainen	trust	0.656
excellence	erinomaisuus	disgust	0.141
excellence	erinomaisuus	joy	0.818
discord	eripuraisuus	anger	0.576
discord	eripuraisuus	disgust	0.383
segregate	eristää	anger	0.437
segregate	eristää	disgust	0.555
insulation	eristys	trust	0.453
secretion	erite	disgust	0.703
secrete	erittää	disgust	0.633
special	erityinen	joy	0.574
excretion	eritys	disgust	0.828
differential	ero	trust	0.43
